QualifiedApiName,NamespacePrefix,Label
ContentHubRepository,,Files Connect repository
Contract,,Contract
ContractHistory,,Contract History
ContractFeed,,Contract Feed
ContractChangeEvent,,Contract Change Event
Order,,Order
OrderShare,,Order Share
OrderOwnerSharingRule,,Order Owner Sharing Rule
OrderHistory,,Order History
OrderFeed,,Order Feed
OrderChangeEvent,,Order Change Event
OrderItem,,Order Product
OrderItemHistory,,Order Product History
OrderItemFeed,,Order Product Feed
OrderItemChangeEvent,,Order Product Change Event
ContractContactRole,,Contract Contact Role
FieldAttributesLocalization,,Translation
CustomObject,,Custom Object Definition
CustomEntityDefinitionLocalization,,Translation
CustomField,,Custom Field Definition
CustomFieldDefinitionLocalization,,Translation
PicklistMasterLocalization,,Translation
OpportunityStage,,Opportunity Stage
LeadStatus,,Lead Status Value
CaseStatus,,Case Status Value
SolutionStatus,,Solution Status Value
PartnerRole,,Partner Role Value
TaskPriority,,Task Priority Value
TaskStatus,,Task Status Value
ContractStatus,,Contract Status Value
RecordType,,Record Type
RecordTypeLocalization,,Translation
BusinessProcess,,Business Process
GlobalValueSet,,Global Value Set
SharedPicklistDefinitionLocalization,,Translation
Layout,,Page Layout
LayoutSectionLocalization,,Translation
ProfileLayout,,Profile Layout
FieldSet,,Field Set
FieldSetLocalization,,Translation
Organization,,Organization
AllOrganization,,AllOrganization
AllOrganizationValue,,All Organization Value
GlobalOrganization,,GlobalOrganization
ValidationRule,,Validation Rule
ValidationFormulaLocalization,,Translation
MailmergeTemplate,,Mail Merge Template
Scontrol,,Custom S-Control
ScontrolLocalization,,Scontrol Localization
EmailRoutingAddress,,Email-to-Case Routing Address
Document,,Document
Folder,,Folder
EmailStatus,,Email Status
WebLink,,Custom Button or Link
WebLinkLocalization,,Custom Link Localization
LookupFilter,,Named Filter
NamedFilterLocalization,,Translation
EmailTemplate,,Email Template
EmailTemplateChangeEvent,,Email Template Change Event
DocumentAttachmentMap,,Document Entity Map
BrandTemplate,,Letterhead
HomePageLayout,,Custom Home Page
HomePageComponent,,Home Page Component
Name,,Name
RecentlyViewed,,Recently Viewed
ListLayout,,List Layout
LoginHistory,,Login History
CustomSetupDefinition,,Custom Setup Definition
CustomSetup,,Custom Setup
RemoteProxy,,Remote Site Setting
LoginIp,,Login IP
ClientBrowser,,Client Browser
Vote,,Vote
Community,,Zone
AggregateResult,,Aggregate Result
Campaign,,Campaign
CampaignShare,,Campaign Share
CampaignOwnerSharingRule,,Campaign Owner Rule
CampaignHistory,,Campaign Field History
CampaignFeed,,Campaign Feed
CampaignChangeEvent,,Campaign Change Event
CampaignMemberStatus,,Campaign Member Status
CampaignMemberStatusChangeEvent,,Campaign Member Status Change Event
CampaignMember,,Campaign Member
CampaignMemberChangeEvent,,Campaign Member Change Event
Account,,Account
AccountShare,,Account Share
AccountOwnerSharingRule,,Account Owner Rule
AccountHistory,,Account History
AccountFeed,,Account Feed
AccountChangeEvent,,Account Change Event
Contact,,Contact
ContactShare,,Contact Share
ContactOwnerSharingRule,,Contact Owner Rule
ContactHistory,,Contact History
ContactFeed,,Contact Feed
ContactChangeEvent,,Contact Change Event
Lead,,Lead
LeadShare,,Lead Share
LeadOwnerSharingRule,,Lead Owner Rule
LeadHistory,,Lead History
LeadFeed,,Lead Feed
LeadChangeEvent,,Lead Change Event
Opportunity,,Opportunity
OpportunityShare,,Opportunity Share
OpportunityOwnerSharingRule,,Opportunity Owner Rule
OpportunityFieldHistory,,Opportunity Field History
OpportunityFeed,,Opportunity Feed
OpportunityChangeEvent,,Opportunity Change Event
AccountContactRelation,,Account Contact Relationship
AccountContactRelationChangeEvent,,Account Contact Relationship Change Event
OpportunityContactRole,,Opportunity Contact Role
OpportunityContactRoleChangeEvent,,Opportunity Contact Role Change Event
OpportunityHistory,,Opportunity History
OpportunityLineItem,,Opportunity Product
OpportunityLineItemChangeEvent,,Opportunity Product Change Event
OpportunityLineItemSchedule,,Line Item Schedule
OpportunityCompetitor,,Opportunity: Competitor
UserTeamMember,,User Team Member
UserAccountTeamMember,,User Account Team Member
OpportunityTeamMember,,Opportunity Team Member
OpportunityTeamMemberHistory,,Opportunity Team Member History
AccountTeamMember,,Account Team Member
AccountTeamMemberChangeEvent,,Account Team Member Change Event
Partner,,Partner
AccountPartner,,Account Partner
OpportunityPartner,,Opportunity Partner
ForecastingItem,,Forecasting Item
ForecastingFact,,Forecasting Fact
