object_api_name,field_api_name,field_label,data_type,nillable,createable,updateable
PublicSector__EmergencyRequest__c,Id,Record ID,id,False,False,False
PublicSector__EmergencyRequest__c,OwnerId,Owner ID,reference,False,True,True
PublicSector__EmergencyRequest__c,IsDeleted,Deleted,boolean,False,False,False
PublicSector__EmergencyRequest__c,Name,Emergency Request,string,False,False,False
PublicSector__EmergencyRequest__c,CurrencyIsoCode,Currency ISO Code,picklist,True,True,True
PublicSector__EmergencyRequest__c,RecordTypeId,Record Type ID,reference,True,True,True
PublicSector__EmergencyRequest__c,CreatedDate,Created Date,datetime,False,False,False
PublicSector__EmergencyRequest__c,CreatedById,Created By ID,reference,False,False,False
PublicSector__EmergencyRequest__c,LastModifiedDate,Last Modified Date,datetime,False,False,False
PublicSector__EmergencyRequest__c,LastModifiedById,Last Modified By ID,reference,False,False,False
PublicSector__EmergencyRequest__c,SystemModstamp,System Modstamp,datetime,False,False,False
PublicSector__EmergencyRequest__c,LastActivityDate,Last Activity Date,date,True,False,False
PublicSector__EmergencyRequest__c,MayEdit,May Edit,boolean,False,False,False
PublicSector__EmergencyRequest__c,IsLocked,Is Locked,boolean,False,False,False
PublicSector__EmergencyRequest__c,LastViewedDate,Last Viewed Date,datetime,True,False,False
PublicSector__EmergencyRequest__c,LastReferencedDate,Last Referenced Date,datetime,True,False,False
PublicSector__EmergencyRequest__c,PublicSector__Account__c,Account,reference,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__Address__c,Delivery Address,reference,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__BusinessApplication__c,Business Application,reference,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__Contact_Address__c,Contact Address,textarea,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__DateRequired__c,Date Required,date,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__DeliveryInstructions__c,Delivery Instructions,textarea,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__DeliverySafetyConcerns__c,Delivery Health or Safety Concerns,textarea,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__DisinfectantQuantity__c,Disinfectant Quantity,double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__DropOffDate__c,Drop-Off Date,datetime,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__Email__c,Email,email,False,True,True
PublicSector__EmergencyRequest__c,PublicSector__FaceShieldsQuantity__c,Face Shields Quantity,double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__GlovesQuantity__c,Gloves Quantity (Surgical or Exam),double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__GogglesQuantity__c,Safety or Protective Goggles Quantity,double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__GownsQuantity__c,Gowns Quantity(Surgical or Exam),double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__HandSanitizerQuantity__c,Hand Sanitizer Quantity,double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__IndividualApplication__c,Individual Application,reference,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__IsDropOffDonation__c,Drop-Off Donation,boolean,False,True,True
PublicSector__EmergencyRequest__c,PublicSector__MasksQuantity__c,Masks Quantity (Surgical or Exam),double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__OrganizationAddress__c,Organization Address,string,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__OrganizationName__c,Organization Name,string,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__OrganizationType__c,Organization Type,picklist,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__Phone__c,Phone,phone,False,True,True
PublicSector__EmergencyRequest__c,PublicSector__PickUpDate__c,Pick-Up Date,datetime,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__PrimaryContactName__c,Primary Contact Name,string,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__PrimaryContactPhone__c,Primary Contact Phone,phone,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__PrimaryContactTitle__c,Primary Contact Title,string,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__RequestDetails__c,Request Details,textarea,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__RequestReason__c,Request Reason,picklist,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__RequestedLengthOfStay__c,Requested Length Of Stay,string,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__RequestedService__c,Requested Service,picklist,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__RequestedStartDateOfStay__c,Requested Start Date Of Stay,date,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__RequestorName__c,Requestor Name,string,False,True,True
PublicSector__EmergencyRequest__c,PublicSector__RespiratorN95MaskQuantity__c,Respirator Quantity (N95 Mask),double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__SecondaryContactName__c,Secondary Contact Name,string,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__SecondaryContactPhone__c,Secondary Contact Phone,phone,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__SecondaryContactTitle__c,Secondary Contact Title,string,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__Title__c,Title,string,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__VentilatorQuantity__c,Ventilator Quantity,double,True,True,True
PublicSector__EmergencyRequest__c,PublicSector__ViralSwabsQuantity__c,Viral Swabs Quantity,double,True,True,True
sfsp__AttainmentPlanConfigurationRowDetail__c,Id,Record ID,id,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,IsDeleted,Deleted,boolean,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,Name,Name,string,True,True,True
sfsp__AttainmentPlanConfigurationRowDetail__c,CurrencyIsoCode,Currency ISO Code,picklist,True,True,True
sfsp__AttainmentPlanConfigurationRowDetail__c,CreatedDate,Created Date,datetime,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,CreatedById,Created By ID,reference,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,LastModifiedDate,Last Modified Date,datetime,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,LastModifiedById,Last Modified By ID,reference,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,SystemModstamp,System Modstamp,datetime,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,MayEdit,May Edit,boolean,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,IsLocked,Is Locked,boolean,False,False,False
sfsp__AttainmentPlanConfigurationRowDetail__c,sfsp__AttainmentPlanConfiguration__c,Attainment Plan Configuration,reference,False,True,False
sfsp__AttainmentPlanConfigurationRowDetail__c,sfsp__SortOrder__c,Sort Order,double,False,True,True
sfsp__AttainmentPlanConfiguration__c,Id,Record ID,id,False,False,False
sfsp__AttainmentPlanConfiguration__c,OwnerId,Owner ID,reference,False,True,True
sfsp__AttainmentPlanConfiguration__c,IsDeleted,Deleted,boolean,False,False,False
sfsp__AttainmentPlanConfiguration__c,Name,Name,string,True,True,True
sfsp__AttainmentPlanConfiguration__c,CurrencyIsoCode,Currency ISO Code,picklist,True,True,True
sfsp__AttainmentPlanConfiguration__c,CreatedDate,Created Date,datetime,False,False,False
sfsp__AttainmentPlanConfiguration__c,CreatedById,Created By ID,reference,False,False,False
sfsp__AttainmentPlanConfiguration__c,LastModifiedDate,Last Modified Date,datetime,False,False,False
sfsp__AttainmentPlanConfiguration__c,LastModifiedById,Last Modified By ID,reference,False,False,False
sfsp__AttainmentPlanConfiguration__c,SystemModstamp,System Modstamp,datetime,False,False,False
sfsp__AttainmentPlanConfiguration__c,MayEdit,May Edit,boolean,False,False,False
