namespace,object_api_name
PublicSector,PublicSector__EmergencyRequest__c
sfsp,sfsp__AttainmentPlanConfigurationRowDetail__c
sfsp,sfsp__AttainmentPlanConfiguration__c
sfsp,sfsp__AttainmentPlanRowDetail__c
sfsp,sfsp__AttainmentPlanRow__c
sfsp,sfsp__AttainmentPlan__c
sfsp,sfsp__ListViewColumn__c
sfsp,sfsp__ListView__c
sfsp,sfsp__SalesActivity__c
sfsp,sfsp__SalesAssignmentObject__c
sfsp,sfsp__SalesAsyncJob__c
sfsp,sfsp__SalesBoundary__c
sfsp,sfsp__SalesDataSourceCRMFieldMapping__c
sfsp,sfsp__SalesDataSource__c
sfsp,sfsp__SalesGoal__c
sfsp,sfsp__SalesMetric__c
sfsp,sfsp__SalesMilestone__c
sfsp,sfsp__SalesNodeAssignment__c
sfsp,sfsp__SalesNodeBoundary__c
sfsp,sfsp__SalesNodeExternalAsset__c
sfsp,sfsp__SalesNodeMetric__c
sfsp,sfsp__SalesNodeRuleItem__c
sfsp,sfsp__SalesNodeRule__c
sfsp,sfsp__SalesNodeUser__c
sfsp,sfsp__SalesNode__c
sfsp,sfsp__SalesPlanUser__c
sfsp,sfsp__SalesPlan__c
sfsp,sfsp__SalesProduct__c
sfsp,sfsp__SalesUserAccess__c
sfsp,sfsp__SalesUserPreference__c
