EntityDefinition.QualifiedApiName,QualifiedApiName,DataType
PublicSector__EmergencyRequestVisitFlowSetting__mdt,DeveloperName,Text(40)
PublicSector__EmergencyRequestVisitFlowSetting__mdt,Id,Lookup()
PublicSector__EmergencyRequestVisitFlowSetting__mdt,Label,Text(40)
PublicSector__EmergencyRequestVisitFlowSetting__mdt,Language,Picklist
PublicSector__EmergencyRequestVisitFlowSetting__mdt,ManageableState,Picklist
PublicSector__EmergencyRequestVisitFlowSetting__mdt,MasterLabel,Text(40)
PublicSector__EmergencyRequestVisitFlowSetting__mdt,MasterLabelNorm,Text(80)
PublicSector__EmergencyRequestVisitFlowSetting__mdt,NamespacePrefix,Text
PublicSector__EmergencyRequestVisitFlowSetting__mdt,PublicSector__ActionPlanTemplateName__c,Text(100)  (Unique Case Insensitive)
PublicSector__EmergencyRequestVisitFlowSetting__mdt,PublicSector__Event_Type__c,Text(100)  (Unique Case Insensitive)
PublicSector__EmergencyRequestVisitFlowSetting__mdt,QualifiedApiName,Text(70)
PublicSector__EmergencyRequestVisitFlowSetting__mdt,SystemModstamp,Date/Time
PublicSector__EmergencyRequest__c,CreatedById,Lookup(User)
PublicSector__EmergencyRequest__c,CreatedDate,Date/Time
PublicSector__EmergencyRequest__c,CurrencyIsoCode,Picklist
PublicSector__EmergencyRequest__c,Id,Lookup()
PublicSector__EmergencyRequest__c,IsDeleted,Checkbox
PublicSector__EmergencyRequest__c,IsLocked,Checkbox
PublicSector__EmergencyRequest__c,LastActivityDate,Date
PublicSector__EmergencyRequest__c,LastModifiedById,Lookup(User)
PublicSector__EmergencyRequest__c,LastModifiedDate,Date/Time
PublicSector__EmergencyRequest__c,LastReferencedDate,Date/Time
PublicSector__EmergencyRequest__c,LastViewedDate,Date/Time
PublicSector__EmergencyRequest__c,MayEdit,Checkbox
PublicSector__EmergencyRequest__c,Name,Auto Number
PublicSector__EmergencyRequest__c,OwnerId,"Lookup(User,Group)"
PublicSector__EmergencyRequest__c,PublicSector__Account__c,Lookup(Account)
PublicSector__EmergencyRequest__c,PublicSector__Address__c,Lookup(Address)
PublicSector__EmergencyRequest__c,PublicSector__BusinessApplication__c,Lookup(Business License Application)
PublicSector__EmergencyRequest__c,PublicSector__Contact_Address__c,Long Text Area(32768)
PublicSector__EmergencyRequest__c,PublicSector__DateRequired__c,Date
PublicSector__EmergencyRequest__c,PublicSector__DeliveryInstructions__c,Long Text Area(131072)
PublicSector__EmergencyRequest__c,PublicSector__DeliverySafetyConcerns__c,Long Text Area(131072)
PublicSector__EmergencyRequest__c,PublicSector__DisinfectantQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__DropOffDate__c,Date/Time
PublicSector__EmergencyRequest__c,PublicSector__Email__c,Email
PublicSector__EmergencyRequest__c,PublicSector__FaceShieldsQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__GlovesQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__GogglesQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__GownsQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__HandSanitizerQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__IndividualApplication__c,Lookup(Individual Application)
PublicSector__EmergencyRequest__c,PublicSector__IsDropOffDonation__c,Checkbox
PublicSector__EmergencyRequest__c,PublicSector__MasksQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__OrganizationAddress__c,Text(255)
PublicSector__EmergencyRequest__c,PublicSector__OrganizationName__c,Text(100)
PublicSector__EmergencyRequest__c,PublicSector__OrganizationType__c,Picklist
PublicSector__EmergencyRequest__c,PublicSector__Phone__c,Phone
PublicSector__EmergencyRequest__c,PublicSector__PickUpDate__c,Date/Time
PublicSector__EmergencyRequest__c,PublicSector__PrimaryContactName__c,Text(255)
PublicSector__EmergencyRequest__c,PublicSector__PrimaryContactPhone__c,Phone
PublicSector__EmergencyRequest__c,PublicSector__PrimaryContactTitle__c,Text(255)
PublicSector__EmergencyRequest__c,PublicSector__RequestDetails__c,Long Text Area(32768)
PublicSector__EmergencyRequest__c,PublicSector__RequestedLengthOfStay__c,Text(255)
PublicSector__EmergencyRequest__c,PublicSector__RequestedService__c,Picklist
PublicSector__EmergencyRequest__c,PublicSector__RequestedStartDateOfStay__c,Date
PublicSector__EmergencyRequest__c,PublicSector__RequestorName__c,Text(100)
PublicSector__EmergencyRequest__c,PublicSector__RequestReason__c,Picklist
PublicSector__EmergencyRequest__c,PublicSector__RespiratorN95MaskQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__SecondaryContactName__c,Text(255)
PublicSector__EmergencyRequest__c,PublicSector__SecondaryContactPhone__c,Phone
PublicSector__EmergencyRequest__c,PublicSector__SecondaryContactTitle__c,Text(255)
PublicSector__EmergencyRequest__c,PublicSector__Title__c,Text(50)
PublicSector__EmergencyRequest__c,PublicSector__VentilatorQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,PublicSector__ViralSwabsQuantity__c,"Number(18, 0)"
PublicSector__EmergencyRequest__c,RecordTypeId,Record Type
PublicSector__EmergencyRequest__c,RecordVisibilityId,Lookup(Record Visibility)
PublicSector__EmergencyRequest__c,SystemModstamp,Date/Time
PublicSector__EmergencyRequest__c,UserRecordAccessId,Lookup(User Record Access)
PublicSector__Incoming_Case_Assignment_Queue__mdt,DeveloperName,Text(40)
PublicSector__Incoming_Case_Assignment_Queue__mdt,Id,Lookup()
PublicSector__Incoming_Case_Assignment_Queue__mdt,Label,Text(40)
PublicSector__Incoming_Case_Assignment_Queue__mdt,Language,Picklist
PublicSector__Incoming_Case_Assignment_Queue__mdt,ManageableState,Picklist
PublicSector__Incoming_Case_Assignment_Queue__mdt,MasterLabel,Text(40)
PublicSector__Incoming_Case_Assignment_Queue__mdt,MasterLabelNorm,Text(80)
PublicSector__Incoming_Case_Assignment_Queue__mdt,NamespacePrefix,Text
PublicSector__Incoming_Case_Assignment_Queue__mdt,PublicSector__Queue_Dev_Name__c,Text(50)
PublicSector__Incoming_Case_Assignment_Queue__mdt,QualifiedApiName,Text(70)
PublicSector__Incoming_Case_Assignment_Queue__mdt,SystemModstamp,Date/Time
PublicSector__Volunteer_Shift_Cancellation_Status__mdt,DeveloperName,Text(40)
PublicSector__Volunteer_Shift_Cancellation_Status__mdt,Id,Lookup()
PublicSector__Volunteer_Shift_Cancellation_Status__mdt,Label,Text(40)
PublicSector__Volunteer_Shift_Cancellation_Status__mdt,Language,Picklist
PublicSector__Volunteer_Shift_Cancellation_Status__mdt,ManageableState,Picklist
