QualifiedApiName,NamespacePrefix,Label
PublicSector__EmergencyRequest__c,PublicSector,Emergency Request
PublicSector__EmergencyRequest__ChangeEvent,PublicSector,Change Event: Emergency Request
PublicSector__EmergencyRequest__Feed,PublicSector,Feed: Emergency Request
PublicSector__EmergencyRequest__OwnerSharingRule,PublicSector,Owner Rule: Emergency Request
PublicSector__EmergencyRequest__Share,PublicSector,Share: Emergency Request
PublicSector__EmergencyRequestVisitFlowSetting__mdt,PublicSector,Emergency Request Visit Flow Setting
PublicSector__Incoming_Case_Assignment_Queue__mdt,PublicSector,Incoming Case Assignment Queue
PublicSector__Volunteer_Shift_Cancellation_Status__mdt,PublicSector,Volunteer Shift Cancellation Status
PublicSector__Volunteer_Shift_Default_Status__mdt,PublicSector,Volunteer Shift Default Status
sfsp__AttainmentPlan__c,sfsp,Attainment Plan
sfsp__AttainmentPlan__ChangeEvent,sfsp,Change Event: Attainment Plan
sfsp__AttainmentPlan__OwnerSharingRule,sfsp,Owner Rule: Attainment Plan
sfsp__AttainmentPlan__Share,sfsp,Share: Attainment Plan
sfsp__AttainmentPlanConfiguration__c,sfsp,Attainment Plan Configuration
sfsp__AttainmentPlanConfiguration__ChangeEvent,sfsp,Change Event: Attainment Plan Configuration
sfsp__AttainmentPlanConfiguration__OwnerSharingRule,sfsp,Owner Rule: Attainment Plan Configuration
sfsp__AttainmentPlanConfiguration__Share,sfsp,Share: Attainment Plan Configuration
sfsp__AttainmentPlanConfigurationRowDetail__c,sfsp,Attainment Plan Configuration Row Detail
sfsp__AttainmentPlanConfigurationRowDetail__ChangeEvent,sfsp,Change Event: Attainment Plan Configuration Row Detail
sfsp__AttainmentPlanRow__c,sfsp,Attainment Plan Row
sfsp__AttainmentPlanRow__ChangeEvent,sfsp,Change Event: Attainment Plan Row
sfsp__AttainmentPlanRow__OwnerSharingRule,sfsp,Owner Rule: Attainment Plan Row
sfsp__AttainmentPlanRow__Share,sfsp,Share: Attainment Plan Row
sfsp__AttainmentPlanRowDetail__c,sfsp,Attainment Plan Row Detail
sfsp__AttainmentPlanRowDetail__ChangeEvent,sfsp,Change Event: Attainment Plan Row Detail
sfsp__ListView__c,sfsp,List View
sfsp__ListView__ChangeEvent,sfsp,Change Event: List View
sfsp__ListView__OwnerSharingRule,sfsp,Owner Rule: List View
sfsp__ListView__Share,sfsp,Share: List View
sfsp__ListViewColumn__c,sfsp,List View Column
sfsp__ListViewColumn__ChangeEvent,sfsp,Change Event: List View Column
sfsp__SalesActivity__c,sfsp,Sales Activity
sfsp__SalesActivity__ChangeEvent,sfsp,Change Event: Sales Activity
sfsp__SalesActivity__OwnerSharingRule,sfsp,Owner Rule: Sales Activity
sfsp__SalesActivity__Share,sfsp,Share: Sales Activity
sfsp__SalesAssignmentObject__c,sfsp,Sales Assignment Object
sfsp__SalesAssignmentObject__ChangeEvent,sfsp,Change Event: Sales Assignment Object
sfsp__SalesAssignmentObject__OwnerSharingRule,sfsp,Owner Rule: Sales Assignment Object
sfsp__SalesAssignmentObject__Share,sfsp,Share: Sales Assignment Object
sfsp__SalesAsyncJob__c,sfsp,Sales Async Job
sfsp__SalesAsyncJob__ChangeEvent,sfsp,Change Event: Sales Async Job
sfsp__SalesAsyncJob__OwnerSharingRule,sfsp,Owner Rule: Sales Async Job
sfsp__SalesAsyncJob__Share,sfsp,Share: Sales Async Job
sfsp__SalesBoundary__c,sfsp,Sales Boundary
sfsp__SalesBoundary__ChangeEvent,sfsp,Change Event: Sales Boundary
