object_api_name,source
BuildingControlCase__c,custom_project_object
GazetteerProperty__c,custom_project_object
LicensingCase__c,custom_project_object
PlanningApplication__c,custom_project_object
ServiceSLA__c,custom_project_object
PublicSector__EmergencyRequest__c,org_discovered_pss_candidate
sfsp__AttainmentPlanConfigurationRowDetail__c,org_discovered_pss_candidate
sfsp__AttainmentPlanConfiguration__c,org_discovered_pss_candidate
sfsp__AttainmentPlanRowDetail__c,org_discovered_pss_candidate
sfsp__AttainmentPlanRow__c,org_discovered_pss_candidate
sfsp__AttainmentPlan__c,org_discovered_pss_candidate
sfsp__ListViewColumn__c,org_discovered_pss_candidate
sfsp__ListView__c,org_discovered_pss_candidate
sfsp__SalesActivity__c,org_discovered_pss_candidate
sfsp__SalesAssignmentObject__c,org_discovered_pss_candidate
sfsp__SalesAsyncJob__c,org_discovered_pss_candidate
sfsp__SalesBoundary__c,org_discovered_pss_candidate
sfsp__SalesDataSourceCRMFieldMapping__c,org_discovered_pss_candidate
sfsp__SalesDataSource__c,org_discovered_pss_candidate
sfsp__SalesGoal__c,org_discovered_pss_candidate
sfsp__SalesMetric__c,org_discovered_pss_candidate
sfsp__SalesMilestone__c,org_discovered_pss_candidate
sfsp__SalesNodeAssignment__c,org_discovered_pss_candidate
sfsp__SalesNodeBoundary__c,org_discovered_pss_candidate
sfsp__SalesNodeExternalAsset__c,org_discovered_pss_candidate
sfsp__SalesNodeMetric__c,org_discovered_pss_candidate
sfsp__SalesNodeRuleItem__c,org_discovered_pss_candidate
sfsp__SalesNodeRule__c,org_discovered_pss_candidate
sfsp__SalesNodeUser__c,org_discovered_pss_candidate
sfsp__SalesNode__c,org_discovered_pss_candidate
sfsp__SalesPlanUser__c,org_discovered_pss_candidate
sfsp__SalesPlan__c,org_discovered_pss_candidate
sfsp__SalesProduct__c,org_discovered_pss_candidate
sfsp__SalesUserAccess__c,org_discovered_pss_candidate
sfsp__SalesUserPreference__c,org_discovered_pss_candidate
Account,standard
Contact,standard
Case,standard
Task,standard
Event,standard
ContentDocument,standard
ContentDocumentLink,standard
ContentVersion,standard
Attachment,standard
Note,standard
